종목코드,최고가,최저가,수익률(1달),수익률(3달),수익률(6달),수익률(1년),발행주식수,시가총액,업종명,액면가,자본금
114090,"21,000","12,890",-6.58,+10.39,-15.00,+6.22,"61,855,670","9,396",유원지 및 기타 오락관련 서비스업,500,30927835000
900290,"5,540","2,185",-19.15,-23.73,-25.07,-2.85,"67,375,000","1,721",기타 금융업,무액면,770089223
297890,"5,850","2,952",-1.19,+1.32,+40.79,+40.99,"69,202,637","3,453",특수 목적용 기계 제조업,500,34794995500
294870,"12,960","9,530",+14.48,+15.04,-1.68,+15.84,"65,907,330","7,711",건물 건설업,5000,329536650000
267250,"71,500","54,600",-11.46,-3.61,-0.34,-0.34,"78,993,085","46,369",기타 금융업,1000,81433085000
267270,"92,000","40,300",-35.96,-38.73,-31.15,+20.96,"19,700,793","9,210",일반 목적용 기계 제조업,5000,98503965000
322000,"67,400","21,900",-16.60,-31.37,-51.85,-62.41,"11,200,000","2,475",반도체 제조업,5000,56000000000
267260,"80,600","34,350",+11.71,+5.38,+44.75,+116.28,"36,047,135","26,819","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",5000,180235675000
329180,"147,800","93,800",-9.24,-15.97,+4.17,+2.33,"88,773,116","97,650",선박 및 보트 건조업,5000,443865580000
195940,"43,500","28,250",+0.95,+29.18,+30.17,+19.21,"28,329,891","12,040",의약품 제조업,500,14452249500
278650,"6,050","2,455",-15.32,-23.13,-41.29,-58.23,"78,600,340","1,934",자연과학 및 공학 연구개발업,100,7860034000
343090,"3,210","1,595",-4.35,-21.08,-31.29,-46.21,"16,321,365",273,의료용품 및 기타 의약 관련제품 제조업,500,8160682500
115450,"6,906","3,020",+0.00,-6.78,-28.93,-50.55,"73,307,196","2,522",기타 전문 도매업,500,36653598000
204320,"53,900","35,700",-15.00,-25.47,-22.81,-25.08,"46,957,120","16,764",자동차 신품 부품 제조업,1000,46957120000
403870,"37,950","13,125",+13.10,-2.57,+55.00,+139.30,"81,159,000","27,675",특수 목적용 기계 제조업,500,40579500000
405350,"4,445","2,745",-12.84,+16.39,-5.26,-1.96,"2,720,000",103,금융 지원 서비스업,100,272000000
426550,"2,840","2,190",-17.68,-17.68,-13.78,-7.09,"5,080,000",117,금융 지원 서비스업,100,508000000
439730,"2,415","2,000",-3.18,-2.15,+4.59,-,"4,310,000",98,금융 지원 서비스업,100,431000000
442770,"2,285","2,000",-1.13,+0.23,+1.39,-,"4,210,000",92,금융 지원 서비스업,100,421000000
448760,"2,355","2,090",-2.90,-2.02,+2.35,-,"4,430,000",97,금융 지원 서비스업,100,443000000
175330,"11,340","7,180",+2.31,+16.72,+23.52,+41.53,"196,982,894","20,073",기타 금융업,5000,984914470000
950170,"5,290","3,050",-3.17,-0.81,-14.19,+16.38,"50,288,623","1,841",종합 소매업,무액면,0
234080,"14,930","11,250",-6.70,-10.67,+5.54,+6.81,"15,834,554","1,962",의약품 제조업,2500,39586385000
318000,"19,440","5,330",-8.35,-8.76,-41.62,+44.74,"8,740,223",710,합성고무 및 플라스틱 물질 제조업,200,1748044600
105560,"60,000","46,500",-5.06,+1.55,+8.81,+11.70,"403,511,072","211,843",기타 금융업,5000,2090557685000
432320,"4,835","3,415",-3.38,-16.65,-20.79,-21.15,"101,414,285","3,479",부동산 임대 및 공급업,500,50707142500
455250,"2,200","2,060",+0.00,-2.59,-,-,"4,305,000",89,금융 지원 서비스업,100,430500000
458320,"2,035","1,994",-0.55,-,-,-,"5,505,000",110,금융 지원 서비스업,100,550500000
344820,"47,100","35,050",-2.44,-3.39,-9.82,+4.44,"15,970,512","6,380",유리 및 유리제품 제조업,1000,15970512000
112190,"3,455","1,815",+0.05,-4.47,-20.17,-42.16,"7,125,253",135,"시멘트, 석회, 플라스터 및 그 제품 제조업",500,3562626500
119650,"3,739","1,388",-11.03,-30.50,-56.56,-19.43,"50,935,430",707,일반 목적용 기계 제조업,500,25467715000
151860,"28,100","8,650",-12.94,-4.95,-52.39,+24.68,"36,000,000","3,874",기타 화학제품 제조업,500,20051860000
226360,615,289,+0.00,+0.00,+0.00,-24.59,"156,193,817",498,토목 건설업,100,15619381700
111870,"5,640","2,520",+0.00,+0.00,+0.00,-29.29,"10,663,988",317,영상 및 음향기기 제조업,500,5331994000
122450,"6,900","4,260",-1.57,+10.68,-10.02,-22.32,"45,335,964","2,138",텔레비전 방송업,500,22768238500
376190,"8,810","5,860",-7.52,-20.05,-19.29,-15.59,"24,600,000","1,451",반도체 제조업,500,12800000000
309960,"8,900","3,775",-7.17,+0.49,-26.75,-,"23,217,239",947,기타 금융업,1000,23217239000
373220,"624,000","399,500",-16.05,-25.93,-31.86,-25.93,"234,000,000","936,000",일차전지 및 축전지 제조업,500,117000000000
229640,"17,180","6,610",+53.03,+29.77,+79.94,+63.11,"30,624,879","3,791",기타 금융업,500,15312439500
108320,"123,700","69,800",-8.93,-22.96,-29.37,-9.47,"16,264,300","12,280",반도체 제조업,500,8132150000
108670,"59,100","30,450",-14.08,-33.42,+9.61,+23.55,"8,967,670","3,720",플라스틱제품 제조업,5000,50000000000
383800,"9,560","6,780",-9.60,-17.52,-20.79,-18.21,"76,280,690","5,303",기타 금융업,1000,77745975000
160550,"9,020","4,115",-21.24,-42.76,-34.53,-21.39,"27,906,106","1,169","영화, 비디오물, 방송프로그램 제작 및 배급업",500,13953053000
181710,"29,600","20,600",-7.69,-16.83,-21.64,-9.68,"34,936,682","7,337",소프트웨어 개발 및 공급업,500,18758957500
